Site:,Forest Type,Buckthorn,Worms,trees%veg100,nonveg%100,N Patches500,temp0509,prec0509,terrain slope,aws100cm,bulkdensity,soil erod kffact,soil hyd cond,Age,Sand,P,N,GR 0.25,GR 0.5,Compaction,Sd3,Sd4,Canopy Cover,%Buckthorn,LOI,Clay,Depth,Terrain.cti
16,Maple_Oak,1,146.6666667,88.8,20,16,9.1,41.11,0.6,7.54,1.35,0.2,78,133,55,13,0.5,0,0,400,56.6,145.7,83.503,0.32,6.4,12,6.88,9.19
22,Oak_Basswood,1,2.666666667,73.6,47,13,9.11,40.94,0.38,16.02,1.24,0.49,2.32,152,37,11,5.3,0.187969925,0.15037594,325,385.2,87.1,89.76808,0.88,7.9,23,9.13,17.66
29,Maple_Elm,1,9.333333333,98,0,28,9.06,40.35,0.55,16.02,1.24,0.49,2.32,59,29,4,8.4,0.225,0.075,395,108.1,100,85.848,0.36,9.3,33,19.5,8.58
34,Ash_Beech,1,82.66666667,69.6,8,14,9.07,39.5,1.11,11.83,1.57,0.37,23,121,51,6,8.1,0.07,0.06,250,40.2,32,91.28,0.44,10.9,11,21.25,6.1
39,Oak_Hickory,1,32,90,10,17,8.86,42.33,1.11,6.26,1.5,0.24,7.77,101,47,58,6.8,0.048780488,0,,163,57.2,86.95012,0.88,8.6,13,0.75,5.94
40,Maple_Ash,1,14.66666667,94,0,25,8.93,42.18,0.76,13.58,1.59,0.24,9,173,47,36,9.9,0.331168831,0.201298701,250,221.2,82.1,87.537,0.68,5.6,19,15.19,7.59
42,Maple_Basswood,1,0,100,16,24,8.94,42.17,9.68,5.86,1.53,0.28,7.77,73,31,11,10.2,0.222222222,0.018518519,275,218.7,241.3,90.103,0.8,4.8,39,3.5,7.06
59,Maple,1,0,68.4,5,20,8.94,42.17,3.73,5.86,1.53,0.28,7.77,53,50,9,14.5,0.117647059,0.029411765,225,112.6,25.3,71.04488,0.2,12.3,15,5.88,6.59
85,Maple,1,73.33333333,92,0,23,8.99,41.28,3.18,15.31,1.27,0.49,2.21,38,34,24,6.5,0.421052632,0.368421053,350,154.8,6.8,80.1098,0.8,6.8,23,20,9.69
88,Oak_Hickory,1,5.333333333,72.4,13,17,9.12,41.76,3.66,7.69,1.35,0.24,78,142,32,16,16.1,0.18487395,0.084033613,300,221.8,20.4,81.25984,0.56,8.5,23,14.5,5.03
143,Ash,1,0,100,0,15,7.44,47.16,4.34,7.75,1.64,0.37,4.37,56,29,6,7.8,0.189189189,0.162162162,250,273,29.9,83.5554,0.12,7.9,28,4.88,8.36
166,Pine_Ash,1,0,100,0,25,7.46,47.15,7.76,8.46,1.51,0.43,4.84,59,32,6,2.6,0.153846154,0.076923077,200,361.1,66.9,84.0092,0.56,7.6,18,9,7.8
177,Cottonwood_Maple,1,8,97,1,14,8.93,43.71,1.56,15.31,1.27,0.49,2.21,66,24,5,4,0.046511628,0,300,575.1,8.4,93.07895833,0.76,8.9,34,10.13,6.3
194,Oak_Ash,1,52,100,0,16,8.45,44.89,5.23,13.04,1.33,0.32,21.7,100,71,57,23.2,0.111111111,0,200,79.6,138.4,92.3014,0.52,5.8,12,15,5.58
219,Oak_hickory,1,2.666666667,95,0,9,9.04,41.55,4.91,14.93,1.28,0.49,1.9,196,33,13,4.2,0.100775194,0.031007752,300,124.1,43.9,87.44408,0.56,5.1,29,19.5,4.81
225,Ash_Walnut,1,29.33333333,95.7,7,15,8.95,42.32,4.56,14.93,1.28,0.49,1.9,33,35,14,4.9,0.428571429,0.285714286,250,42.5,16.4,83.99441667,0.32,6.5,23,23.63,6.02
